Country Name,Year,
Brazil,2014,52.1
Brazil,2015,51.9
Brazil,2016,53.3
Brazil,2017,53.3
Brazil,2018,53.9
Brazil,2019,53.4
Switzerland,2014,32.5
Switzerland,2015,32.3
Switzerland,2016,33
Switzerland,2017,32.7
Switzerland,2018,33.1
China,2014,39.2
China,2015,38.6
China,2016,38.5
United Kingdom,2014,34
United Kingdom,2015,33.2
United Kingdom,2016,34.8
United Kingdom,2017,35.1
Russia,2014,39.9
Russia,2015,37.7
Russia,2016,36.8
Russia,2017,37.2
Russia,2018,37.5
United States,2014,41.5
United States,2015,41.2
United States,2016,41.1
United States,2017,41.2
United States,2018,41.4
