areaCode,areaName,areaType,date,cumDeaths28DaysByPublishDate
K02000001,United Kingdom,overview,2021-11-26,144593
K02000001,United Kingdom,overview,2021-11-25,144433
K02000001,United Kingdom,overview,2021-11-24,144286
K02000001,United Kingdom,overview,2021-11-23,144137
K02000001,United Kingdom,overview,2021-11-22,143972
K02000001,United Kingdom,overview,2021-11-21,143927
K02000001,United Kingdom,overview,2021-11-20,143866
K02000001,United Kingdom,overview,2021-11-19,143716
K02000001,United Kingdom,overview,2021-11-18,143559
K02000001,United Kingdom,overview,2021-11-17,143360
K02000001,United Kingdom,overview,2021-11-16,143159
K02000001,United Kingdom,overview,2021-11-15,142945
K02000001,United Kingdom,overview,2021-11-14,142898
K02000001,United Kingdom,overview,2021-11-13,142835
K02000001,United Kingdom,overview,2021-11-12,142678
K02000001,United Kingdom,overview,2021-11-11,142533
K02000001,United Kingdom,overview,2021-11-10,142338
K02000001,United Kingdom,overview,2021-11-09,142124
K02000001,United Kingdom,overview,2021-11-08,141862
K02000001,United Kingdom,overview,2021-11-07,141805
K02000001,United Kingdom,overview,2021-11-06,141743
K02000001,United Kingdom,overview,2021-11-05,141588
K02000001,United Kingdom,overview,2021-11-04,141395
K02000001,United Kingdom,overview,2021-11-03,141181
K02000001,United Kingdom,overview,2021-11-02,140964
K02000001,United Kingdom,overview,2021-11-01,140672
K02000001,United Kingdom,overview,2021-10-31,140632
K02000001,United Kingdom,overview,2021-10-30,140558
K02000001,United Kingdom,overview,2021-10-29,140392
K02000001,United Kingdom,overview,2021-10-28,140206
K02000001,United Kingdom,overview,2021-10-27,140041
K02000001,United Kingdom,overview,2021-10-26,139834
K02000001,United Kingdom,overview,2021-10-25,139571
K02000001,United Kingdom,overview,2021-10-24,139533
K02000001,United Kingdom,overview,2021-10-23,139461
K02000001,United Kingdom,overview,2021-10-22,139326
K02000001,United Kingdom,overview,2021-10-21,139146
K02000001,United Kingdom,overview,2021-10-20,139031
K02000001,United Kingdom,overview,2021-10-19,138852
K02000001,United Kingdom,overview,2021-10-18,138629
K02000001,United Kingdom,overview,2021-10-17,138584
K02000001,United Kingdom,overview,2021-10-16,138527
K02000001,United Kingdom,overview,2021-10-15,138379
K02000001,United Kingdom,overview,2021-10-14,138237
K02000001,United Kingdom,overview,2021-10-13,138080
K02000001,United Kingdom,overview,2021-10-12,137944
K02000001,United Kingdom,overview,2021-10-11,137763
K02000001,United Kingdom,overview,2021-10-10,137735
K02000001,United Kingdom,overview,2021-10-09,137697
K02000001,United Kingdom,overview,2021-10-08,137564
K02000001,United Kingdom,overview,2021-10-07,137417
K02000001,United Kingdom,overview,2021-10-06,137295
K02000001,United Kingdom,overview,2021-10-05,137152
K02000001,United Kingdom,overview,2021-10-04,136986
K02000001,United Kingdom,overview,2021-10-03,136953
K02000001,United Kingdom,overview,2021-10-02,136910
K02000001,United Kingdom,overview,2021-10-01,136789
K02000001,United Kingdom,overview,2021-09-30,136662
K02000001,United Kingdom,overview,2021-09-29,136525
K02000001,United Kingdom,overview,2021-09-28,136375
K02000001,United Kingdom,overview,2021-09-27,136208
K02000001,United Kingdom,overview,2021-09-26,136168
K02000001,United Kingdom,overview,2021-09-25,136110
K02000001,United Kingdom,overview,2021-09-24,135983
K02000001,United Kingdom,overview,2021-09-23,135803
K02000001,United Kingdom,overview,2021-09-22,135621
K02000001,United Kingdom,overview,2021-09-21,135455
K02000001,United Kingdom,overview,2021-09-20,135252
K02000001,United Kingdom,overview,2021-09-19,135203
K02000001,United Kingdom,overview,2021-09-18,135147
K02000001,United Kingdom,overview,2021-09-17,134983
K02000001,United Kingdom,overview,2021-09-16,134805
K02000001,United Kingdom,overview,2021-09-15,134647
