areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,24/11/2021,5000,149134
overview,United Kingdom,K02000001,23/11/2021,0,144134
overview,United Kingdom,K02000001,22/11/2021,29,144134
overview,United Kingdom,K02000001,21/11/2021,52,144105
overview,United Kingdom,K02000001,20/11/2021,66,144053
overview,United Kingdom,K02000001,19/11/2021,85,143987
overview,United Kingdom,K02000001,18/11/2021,112,143902
overview,United Kingdom,K02000001,17/11/2021,109,143790
overview,United Kingdom,K02000001,16/11/2021,139,143681
overview,United Kingdom,K02000001,15/11/2021,160,143542
overview,United Kingdom,K02000001,14/11/2021,117,143382
overview,United Kingdom,K02000001,13/11/2021,130,143265
overview,United Kingdom,K02000001,12/11/2021,139,143135
overview,United Kingdom,K02000001,11/11/2021,143,142996
overview,United Kingdom,K02000001,10/11/2021,146,142853
overview,United Kingdom,K02000001,09/11/2021,143,142707
overview,United Kingdom,K02000001,08/11/2021,147,142564
overview,United Kingdom,K02000001,07/11/2021,168,142417
overview,United Kingdom,K02000001,06/11/2021,164,142249
overview,United Kingdom,K02000001,05/11/2021,152,142085
overview,United Kingdom,K02000001,04/11/2021,156,141933
overview,United Kingdom,K02000001,03/11/2021,161,141777
overview,United Kingdom,K02000001,02/11/2021,157,141616
overview,United Kingdom,K02000001,01/11/2021,174,141459
overview,United Kingdom,K02000001,31/10/2021,182,141285
overview,United Kingdom,K02000001,30/10/2021,167,141103
overview,United Kingdom,K02000001,29/10/2021,171,140936
overview,United Kingdom,K02000001,28/10/2021,190,140765
overview,United Kingdom,K02000001,27/10/2021,159,140575
overview,United Kingdom,K02000001,26/10/2021,161,140416
overview,United Kingdom,K02000001,25/10/2021,130,140255
overview,United Kingdom,K02000001,24/10/2021,152,140125
overview,United Kingdom,K02000001,23/10/2021,163,139973
overview,United Kingdom,K02000001,22/10/2021,134,139810
overview,United Kingdom,K02000001,21/10/2021,155,139676
overview,United Kingdom,K02000001,20/10/2021,152,139521
overview,United Kingdom,K02000001,19/10/2021,128,139369
overview,United Kingdom,K02000001,18/10/2021,127,139241
overview,United Kingdom,K02000001,17/10/2021,127,139114
overview,United Kingdom,K02000001,16/10/2021,132,138987
overview,United Kingdom,K02000001,15/10/2021,137,138855
overview,United Kingdom,K02000001,14/10/2021,149,138718
overview,United Kingdom,K02000001,13/10/2021,119,138569
overview,United Kingdom,K02000001,12/10/2021,113,138450
overview,United Kingdom,K02000001,11/10/2021,122,138337
overview,United Kingdom,K02000001,10/10/2021,96,138215
